symbol,close,rs,rs_ma,rs_slope,price_sma20,price_wma200,score,total_active,tier,conditions,run_date,data_flag,is_clean,rs_rank,grade,sector
TATACHEM,717.4,-0.199,-0.2751,0.1022,779.9,937.1,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,37.5,D,Chemicals
CERA,4886.4,-0.2001,-0.2713,0.0889,5396.49,6702.31,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,37.5,D,Other
CASTROLIND,186.91,-0.201,-0.0743,-0.2318,189.34,183.49,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,37.4,D,Other
CORALFINAC,33.8,-0.2012,-0.2568,0.0877,38.7,43.73,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,37.3,D,Finance
AARON,161.55,-0.2013,0.0218,-0.0179,176.93,157.35,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': True, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,37.3,D,Other
RHL,193.77,-0.2013,-0.1272,0.1175,208.22,,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,37.3,D,Other
OLECTRA,997.1,-0.2015,-0.2165,0.1347,1217.96,1332.65,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': False}",2026-03-03,,True,37.1,D,Other
MAHSEAMLES,562.0,-0.2015,-0.2069,0.0612,550.17,630.74,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,37.1,D,Other
KAYNES,3856.5,-0.2015,-0.2102,0.2422,4738.29,,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': False}",2026-03-03,,True,37.1,D,Other
PRAKASH,131.16,-0.2016,-0.192,0.1656,138.58,149.07,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,37.0,D,Other
SOMANYCERA,410.15,-0.2016,-0.3403,0.1198,420.6,560.35,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,37.0,D,Other
AWHCL,492.7,-0.2021,-0.2695,-0.1,501.41,527.52,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,36.8,D,Other
ELECTHERM,717.55,-0.2024,-0.194,0.0104,856.91,745.03,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,36.7,D,Other
NAGREEKEXP,25.2,-0.2033,-0.303,0.189,26.69,30.23,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,36.6,D,Other
SRHHYPOLTD,465.55,-0.204,-0.3237,0.1667,503.38,578.98,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,36.5,D,Other
LANDMARK,413.3,-0.2042,-0.2196,0.2191,495.77,,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': False}",2026-03-03,,True,36.4,D,Other
LORDSCHLO,125.14,-0.2042,0.0348,0.0174,170.26,,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,36.4,D,Other
